 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
Ausgaben,Nebenkosten,absolute Ausgaben,Umsatz,Profit,Multiplikator,EP Verkauft/abbruch,realer Profit,realer Multiplikator,Stock Wert,,,,
"3.592,62 €","525,14 €","4.117,76 €","3.316,00 €","-801,76 €",81%,"2.003,90 €","1.312,10 €",165%,"1.579,97 €",,,,
,,,,,,,,,,,,,
,,,,, ,,,,,,,,
,,,,,,,,,,,,,
ID,Status,EP,listed am,Push,VP,verkauft am,Profit,Multiplikator,verkauft nach,Marke/Art,Typ,Grade,Supplier
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
